folder_name,true_brand,pred_brand,phish,siamese_conf,url
nulled.cc,nulled.cc,,0,None,https://nulled.cc
diningcode.com,diningcode.com,,0,None,https://www.diningcode.com
bac-pro.net,bac-pro.net,,0,None,https://bac-pro.net
whiteflowerfarm.com,whiteflowerfarm.com,,0,None,http://whiteflowerfarm.com
thedonkeysanctuary.org.uk,thedonkeysanctuary.org.uk,,0,None,https://thedonkeysanctuary.org.uk
toyota.nl,toyota.nl,,0,None,https://toyota.nl
jason.org,jason.org,,0,None,https://jason.org
kidskonnect.com,kidskonnect.com,,0,None,https://kidskonnect.com
ejobs.ro,ejobs.ro,,0,None,https://www.ejobs.ro
wagnardsoft.com,wagnardsoft.com,,0,None,https://wagnardsoft.com
federalerp.gov.ae,federalerp.gov.ae,,0,None,https://federalerp.gov.ae
cablinginstall.com,cablinginstall.com,,0,None,https://cablinginstall.com
tsc.k12.in.us,tsc.k12.in.us,,0,None,http://tsc.k12.in.us
digitalfaq.com,digitalfaq.com,,0,None,https://digitalfaq.com
saintkentigern.com,saintkentigern.com,,0,None,https://www.saintkentigern.com
vikingdirekt.at,vikingdirekt.at,,0,None,https://vikingdirekt.at
stmcu.com.cn,stmcu.com.cn,,0,None,https://www.stmcu.com.cn
kymkemp.com,kymkemp.com,,0,None,https://kymkemp.com
ocnk.net,ocnk.net,,0,None,https://www.ocnk.net
todo-mail.com,todo-mail.com,,0,None,https://todo-mail.com
oboi7.com,oboi7.com,,0,None,https://oboi7.com
circleone.in,circleone.in,,0,None,https://www.circleone.in
theweek.com,theweek.com,,0,None,https://theweek.com
shopify.jp,shopify.jp,,0,None,https://shopify.jp
caida.org,caida.org,,0,None,https://caida.org
lessonly.com,lessonly.com,,0,None,http://lessonly.com
mepits.com,mepits.com,,0,None,https://mepits.com
chocoapp.ru,chocoapp.ru,,0,None,https://chocoapp.ru
listchallenges.com,listchallenges.com,,0,None,https://listchallenges.com
kku.edu.sa,kku.edu.sa,,0,None,https://www.kku.edu.sa
hentaivn.net,hentaivn.net,,0,None,https://hentaivn.net
jailbreak-mag.de,jailbreak-mag.de,,0,None,https://jailbreak-mag.de
scilab.org,scilab.org,,0,None,https://scilab.org
headlightrevolution.com,headlightrevolution.com,,0,None,https://headlightrevolution.com
zimanclix.com,zimanclix.com,,0,None,https://zimanclix.com
go4worldbusiness.com,go4worldbusiness.com,,0,None,https://go4worldbusiness.com
sz.design,sz.design,,0,None,https://sz.design
rusknife.com,rusknife.com,,0,None,https://rusknife.com
eleafworld.com,eleafworld.com,,0,None,https://www.eleafworld.com
kiwitaxi.com,kiwitaxi.com,,0,None,https://kiwitaxi.com
shiki.jp,shiki.jp,,0,None,https://www.shiki.jp
mover.az,mover.az,,0,None,https://mover.az
urgentcomm.com,urgentcomm.com,,0,None,https://www.urgentcomm.com
jobrad.org,jobrad.org,,0,None,https://jobrad.org
wownet.co.kr,wownet.co.kr,,0,None,https://www.wownet.co.kr
web.money,web.money,,0,None,https://web.money
businessesforsale.com,businessesforsale.com,,0,None,https://businessesforsale.com
uniremington.edu.co,uniremington.edu.co,,0,None,https://www.uniremington.edu.co
k12teacherstaffdevelopment.com,k12teacherstaffdevelopment.com,,0,None,https://k12teacherstaffdevelopment.com
oberd.com,oberd.com,,0,None,https://oberd.com
camerajungle.co.uk,camerajungle.co.uk,,0,None,https://camerajungle.co.uk
liteforex.com,liteforex.com,,0,None,https://liteforex.com
wipo.int,wipo.int,,0,None,https://www.wipo.int
77onlineshop.de,77onlineshop.de,,0,None,https://77onlineshop.de
aom.org,aom.org,,0,None,https://aom.org
spielenxxl.de,spielenxxl.de,,0,None,https://spielenxxl.de
k886.net,k886.net,,0,None,http://k886.net
trustedsite.com,trustedsite.com,,0,None,https://trustedsite.com
prehraj.to,prehraj.to,,0,None,https://prehraj.to
tillionpanel.com,tillionpanel.com,,0,None,https://tillionpanel.com
everquest.com,everquest.com,,0,None,https://everquest.com
autoexpreso.com,autoexpreso.com,,0,None,https://autoexpreso.com
photofunny.net,photofunny.net,,0,None,https://photofunny.net
cruise-compare.com,cruise-compare.com,,0,None,https://cruise-compare.com
unicatt.it,unicatt.it,,0,None,https://www.unicatt.it
kfshrc.edu.sa,kfshrc.edu.sa,,0,None,https://kfshrc.edu.sa
mechanix.com,mechanix.com,,0,None,https://mechanix.com
unidas.com.br,unidas.com.br,,0,None,https://www.unidas.com.br
libertyland.al,libertyland.al,,0,None,https://libertyland.al
kinoheld.de,kinoheld.de,,0,None,https://kinoheld.de
tattoodo.com,tattoodo.com,,0,None,https://tattoodo.com
archiwp.com,archiwp.com,,0,None,https://archiwp.com
business-standard.com,business-standard.com,Facebook,1,0.860684,http://business-standard.com
givegab.com,givegab.com,,0,None,https://givegab.com
audible.it,audible.it,,0,None,https://www.audible.it
clasf.co,clasf.co,,0,None,https://clasf.co
cssigniter.com,cssigniter.com,,0,None,https://cssigniter.com
leehamnews.com,leehamnews.com,,0,None,https://leehamnews.com
crocs.com,crocs.com,,0,None,http://crocs.com
kpopsource.com,kpopsource.com,,0,None,https://kpopsource.com
charitywatch.org,charitywatch.org,,0,None,http://charitywatch.org
taqi.com.br,taqi.com.br,,0,None,https://www.taqi.com.br
docdroid.net,docdroid.net,,0,None,https://docdroid.net
youth4work.com,youth4work.com,,0,None,https://youth4work.com
gfore.com,gfore.com,,0,None,https://gfore.com
sahistory.org.za,sahistory.org.za,,0,None,https://sahistory.org.za
kyivstar.ua,kyivstar.ua,,0,None,http://kyivstar.ua
zoznam.sk,zoznam.sk,,0,None,https://www.zoznam.sk
penguin.co.uk,penguin.co.uk,,0,None,https://penguin.co.uk
